sentence|offsets|correction|old_type|new_type|comment
"The advertisement shew two actors but I was surprised to see as the main caracter a different person ."|11 18|a different person as the main character|R:OTHER||
"As well as this , to my horror , the performance did n't start at 19.30 but forthy five minutes later ."|17 18|forty-|R:OTHER|R:ORTH|
"As well as this , to my horror , the performance did n't start at 19.30 but forthy five minutes later ."|17 18|forty-|R:OTHER|R:SPELL|
"Have a good feeling with it ! :"|0 5|Feel good about|R:OTHER||
"On one side , the modern technology is extremely important , on the other hand you should n't abuse of it ."|0 3|on the one hand|R:OTHER||
"Conclusion : I do think , however , the modern technology is essential for human being nowadays ."|8 9|that|R:OTHER|R:CONJ|
"IN JULY WE HAVE GOT LOW SEASON AND IT WILL BE EASIER TO GO THEN ON HOLLYDAY ."|0 5|JULY IS THE|R:OTHER||
"IN JULY WE HAVE GOT LOW SEASON AND IT WILL BE EASIER TO GO THEN ON HOLLYDAY ."|14 17|ON HOLIDAY THEN|R:OTHER|R:WO|
"IN JULY WE HAVE GOT LOW SEASON AND IT WILL BE EASIER TO GO THEN ON HOLLYDAY ."|14 17|ON HOLIDAY THEN|R:OTHER|R:SPELL|
"FROM THE ACTIVITIES I CHOOSE TENNIS AND SURFING . I PLAY TENNIS IN A CUP FOR FIVE YEARS BUT SURFING I HAVE NEVER DONE BEFORE ."|10 11|HAVE PLAYED|R:OTHER|R:VERB:TENSE|
"WE NEED SOME SPECIAL SPORT CLOTHES FOR THIS TWO ACTIVITIES ? AND IS IT ALSO ALLOWED TO BRING MY DOG WITH ?"|12 15|AM I|R:OTHER||
"YOU KNOW THAT I ALWAYS WANTED TO HELP AT A CONCERT . TO BE IN A STAFF TEAM WOULD BE WONDERFUL , I THOUGTH . AND I WAS RIGHT !"|14 16|PART OF THE|R:OTHER||
"AS YOU KNOW I WROTE TO THAT ORGANISATION WHO IS ALWAYS RESPONSBLE FOR BIG EVENTS ."|8 9|WHICH|R:OTHER|R:PRON|
"AFTER THE MEETING WE RECIEVED ALL THE SAME CLOTHES ."|4 6|ALL RECEIVED|R:OTHER|R:WO|
"AFTER THE MEETING WE RECIEVED ALL THE SAME CLOTHES ."|4 6|ALL RECEIVED|R:OTHER|R:SPELL|
"Firstly , it was mentioned that there were going to be two starrings but , in fact , only an actor were performing on the show ."|19 20|one|R:OTHER|R:DET|
"We would n't be able to sort out informations and datas this quickly ."|11 12|quickly|R:OTHER|R:ADJ|
"Secondly , no one could communicate on the phone through countries or even through houses as immediate as nowadays ."|16 17|so|R:OTHER||
"Put it in another words , modern technology has changed our life to became more advanced in every ways ."|3 4|other|R:OTHER|R:ADJ|
"The even is planned on 14th of March between 10.00 am and 19.00 p.m. If it is possible we would like to ask you to change your programme ."|10 14|19.00 .|R:OTHER||
"Your sincerelly"|0 1|Yours|R:OTHER|R:SPELL|
"The things that really dissapointed me were that you said Danny Brook and Tina Truelove were suposed to be the actors but they were n't , different actors played and to be honest they made the hole show very bad ."|36 37|whole|R:OTHER|R:SPELL|
"Another thing was that you said discounts are available which is very important for students , but no their were n't any ."|18 19|there|R:OTHER|R:SPELL|
"Also after the show your restaurant was closed because their was n't enough staff ."|9 10|there|R:OTHER|R:SPELL|
"Since everyone can afford modern technology the life of everyone in the more developed countries has changed completly ."|6 10|everyone's life|R:OTHER||
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating ."|6 7|when|R:OTHER|R:PRON|
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating ."|18 19|then|R:OTHER|R:SPELL|
"It starts already in the morning that we wake up by the sound of an alarm clock , than in the bathroom we have running hot water and also the hole house is warm due to central heating ."|30 31|whole|R:OTHER|R:SPELL|
"If we than want to go to work we do n't have to get our horse , no , we get the car keys and go where ever we want to ."|2 3|then|R:OTHER|R:SPELL|
"Another point which caused some inconveniences was the timetable of the show ."|8 12|show's timetable|R:OTHER||
"My fear turned out to be right ."|6 7|justified|R:OTHER||
"She knew that I had bought my first bra without having asked her for advice before it ."|15 16|beforehand|R:OTHER||
"We asked for it and we were told that there was not discount neither for her not for anyone else , so I had to pay the full price of the two tickets ."|11 12|no|R:OTHER||
"We asked for it and we were told that there was not discount neither for her not for anyone else , so I had to pay the full price of the two tickets ."|13 14|either|R:OTHER|R:CONJ|
"We asked for it and we were told that there was not discount neither for her not for anyone else , so I had to pay the full price of the two tickets ."|17 18|or|R:OTHER||
"Furthermore , it was announced to start at 19.30 p.m. and it started at 20.15 p.m. for reasons anyone would explain to the audience ."|18 19|no one|R:OTHER|R:PRON|
"After the play , we went to the theatre 's restaurant and we found out that it was closed since 1999 's spring !"|20 23|spring 1999|R:OTHER||
"Of course , Ann promised not to tell anyone , but by the lunch - break all the school knew that Lise had stolen the literature exams ."|14 16|time|R:OTHER||
"It was an unfair deal , but if they wanted the questions they had to accept , and if they accepted , they could n't tell anything to the teachers , because , in fact , they were as guilty as Lise ."|26 30|the teachers anything|R:OTHER||
"I hope you 'll attend my suggestions ."|4 5|act on|R:OTHER||
"Once upon a time , in a small Catalan village , there was a little boy who loved cheating and making jokes ."|18 19|fooling around|R:OTHER||
"He did it more times , and at last nobody cared of the shoutings ."|7 9|in the end|R:OTHER||
"He did it more times , and at last nobody cared of the shoutings ."|10 11|took any notice|R:OTHER||
"Then he learned to say always the truth ."|3 6|always to tell|R:OTHER|R:WO|
"Then he learned to say always the truth ."|3 6|always to tell|R:OTHER|R:VERB|
"Secondly , I would prefer living in tents , I always admire outdoors life ."|10 12|have always admired|R:OTHER|R:VERB:TENSE|
"Finally , I would like to surging and golf ."|6 7|surfing|R:OTHER|R:SPELL|
"Your sincerely"|0 1|Yours|R:OTHER|R:SPELL|
"You are working with your idea woman , I ca n't still belive that I spoke with her ."|5 6|ideal|R:OTHER|R:SPELL|
"Now , I know how difficult to sing in front of the audience and behind the start there are a lot of the people who help the performance ."|6 6|it is|M:OTHER||
"This is just one months which I 've fee ."|8 9|free|R:OTHER|R:SPELL|
"I can sleep in tent , it would remain me a good time which I 'd spent with my friends a few years ago . I 'm not scared of darkness , rain , cold or hot whether ."|37 38|weather|R:OTHER|R:SPELL|
"In swimming I 'm not as good as in basketball , but I 'd like to practise more and maybe learn something new about it ."|0 7|I'm not as good at swimming|R:OTHER||
"In swimming I 'm not as good as in basketball , but I 'd like to practise more and maybe learn something new about it ."|8 8|I am|M:OTHER||
"I would like to ask you , what sort of clothes shall I take with me ? I do n't want take too much ; jeans , jumper , swimming costium , T - shirt , sports shoes I think should b O.K."|41 42|be|R:OTHER|R:SPELL|
"Know , I can just wait for July"|0 1|Now,|R:OTHER|R:SPELL|
"Every - thing was O.K"|0 3|Everything|R:OTHER|R:ORTH|
"According to your letter I have two options of accommodation , or in tents or log cabins ."|8 9|regarding|R:OTHER||
"According to your letter I have two options of accommodation , or in tents or log cabins ."|11 12|either|R:OTHER|R:CONJ|
"I would prefer in tents because I think that is something more exciting and new for me ."|3 4|a|R:OTHER||
"The reason of choosing this two activities is that they contrast itselves , I want one more exciting and that asks for more agility and another more calm and relaxing , that asks only for my ability to paint ."|11 12|each other|R:OTHER|R:PRON|
"The reason of choosing this two activities is that they contrast itselves , I want one more exciting and that asks for more agility and another more calm and relaxing , that asks only for my ability to paint ."|16 16|that is|M:OTHER||
"The reason of choosing this two activities is that they contrast itselves , I want one more exciting and that asks for more agility and another more calm and relaxing , that asks only for my ability to paint ."|26 26|that is|M:OTHER||
"Painting is something that I love and I am very good doing it ."|11 12|at|R:OTHER||
"Is all the travel already paid including food and meals , or I have to bring some money ?"|1 2|everything|R:OTHER||
"Your faithfully ,"|0 1|Yours|R:OTHER|R:SPELL|
"You can not imagine how dissapointed I were with my ownself ."|9 11|myself|R:OTHER|R:PRON|
"He was helping to put the materials of the concerts ( microphone ... ) on the stage ."|6 10|concert equipment|R:OTHER||
"By my side the vocal of the Almendegos was and he touched my arm ."|0 9|The vocalist of the Almendegos was by my side|R:OTHER||
"After all of this we saw the show in the best place , near of the stage and after , the thing that I most liked , we were convidated to see the group and had their signatures ."|18 19|afterwards|R:OTHER|R:ADV|
"Note says that tickets has discounts available , but I bought my ticket and your people told me that there is not any discount for thicket ."|3 7|there are discounts available on tickets|R:OTHER||
"Note says that tickets has discounts available , but I bought my ticket and your people told me that there is not any discount for thicket ."|21 23|no|R:OTHER||
"I was really hungry and I went to other restaurant as soon as I can ."|8 9|another|R:OTHER|R:ADJ|
"I was really disappointed about your threat and service , I hope I can get my money back and you can improve it . Than you for reading ."|24 25|Thank|R:OTHER|R:SPELL|
"Science and technology can give us a better live style or better food ."|8 10|lifestyle|R:OTHER|R:SPELL|
"Science and technology can give us a better live style or better food ."|8 10|lifestyle|R:OTHER|R:ORTH|
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster ."|3 4|once|R:OTHER|R:ADV|
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster ."|9 10|one|R:OTHER|R:DET|
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster ."|12 14|another|R:OTHER||
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster ."|28 29|petrol-|R:OTHER|R:SPELL|
"For example , before people have to walk from a place to the other , but now we can use sciene and technology to produce a lot of petrel transport and we can transport with them faster ."|28 29|petrol-|R:OTHER|R:ORTH|
"We also can produce more and better food or using science and technology . e.g. use science to put all the good part of two plants into one plant ."|8 9|by|R:OTHER||
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy ."|6 7|to produce|R:OTHER||
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy ."|19 21|. They|R:OTHER|R:PUNCT|
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy ."|19 21|. They|R:OTHER|R:PRON|
"Science and technology can also used for some material e.g. steel or iron , which use for our building , it can make it stronger and not easy to destroy ."|26 28|hand|R:OTHER||
"Science and technology can give us a lot of good thing for our daily life , make us easy to do thing or work ."|16 19|making it easy for us|R:OTHER||
"I will explain these now and want to ask to get some of the money I have given you back ."|11 20|back some of the money|R:OTHER||
"The musical show was going to start at 19.30 , but it started t 20:15 ."|13 14|at|R:OTHER|R:SPELL|
"We have waited for 45 minutes getting bored for it to start !"|4 12|it to start for 45 minutes, getting bored|R:OTHER||
"They said that the time was late and they wanted to go home ."|3 5|it|R:OTHER||
"I do n't see it in a normal day , but when I sit and think , its everywhere !"|17 18|it's|R:OTHER|R:SPELL|
"It 's not a good example for modern technology , but it 's a piece of technology at last !"|18 19|least|R:OTHER|R:SPELL|
"You can reach them whenever you want !"|3 4|anything|R:OTHER|R:PRON|
"On the other hand , it usually take much time to get what you exactly want ."|8 9|a lot of|R:OTHER||
"It even varys with people whom you shop with ."|3 4|depending on|R:OTHER||
"Then , I not only had to wait 45 minutes more than it was expected for the beginning of the show but I realised that the main actor had been replaced by another one ( very bad ) as well ."|12 14||U:OTHER||
"Therefore , I have more spare time to enjoy the one I consider as the most important influence technology had in my life : the computer and Internet ."|13 14|to be |R:OTHER||
"Now , I will never say again that I do n't know where can I find some information about this or that and when on holidays or every time I make a new friend , I just ask for the email and that 's enough to know we will know about each other soon ."|40 41|e-mail|R:OTHER|R:SPELL|
"I am writing in the name of the whole class ."|3 6|on behalf|R:OTHER||
"First of al , I want to thank you for the interesting programme , which you already have organised ."|2 3|all|R:OTHER|R:SPELL|
"There we can see everything about the latest fashions , leisure and sports wear , make up and hairstyles ."|2 3|will be able to|R:OTHER||
"There we can see everything about the latest fashions , leisure and sports wear , make up and hairstyles ."|5 6|connected with|R:OTHER||
"The entrance for student is free ."|0 2|Entry|R:OTHER|U:DET|
"The entrance for student is free ."|0 2|Entry|R:OTHER|R:NOUN|
"in the future it could be that you do n't have to prepare your breakfast by your own , perhaps you just have to press a button when your alarm clock has gone ."|4 6|is possible|R:OTHER||
"in the future it could be that you do n't have to prepare your breakfast by your own , perhaps you just have to press a button when your alarm clock has gone ."|16 17|yourself|R:OTHER||
"In addition to this you may have some roboters bringing the newspaper at the table , tidying up the house , doing the shopping and maybe they are also your living patners ."|27 29|will also be|R:OTHER||
"I am really appreciated to hear that I have won first prize in the competition - two weeks at Camp California in the U.S.A. I am writing this letter to inform you more information about myself ."|3 4|pleased|R:OTHER|R:VERB|
"I would prefer the accommodation at Camp California in tents because it would be nice to spend the time living in tents with a nice environment and fresh air ."|3 5|to stay|R:OTHER||
"Photography is quite interesting for me to take a photograph in the place where I have never been to ."|6 6|"; I like"|M:OTHER||
"Anyway , I would like to know that how many people are joining at this Camp ."|12 14|going to|R:OTHER|R:VERB|
"Anyway , I would like to know that how many people are joining at this Camp ."|12 14|going to|R:OTHER|R:PART|
"I and my friend - Emma , we helped to paint the scence of the background on the stage ."|13 16||U:OTHER||
"As you known , I like drawing and painting when I have a free time so that why I chose to paint the scence of the background ."|24 27||U:OTHER||
"And I particularly liked the experience that I helped to screen and paint a picture of "" Bon Jovi "" on every T - shirts which are given to the audiences ."|6 8|of|R:OTHER||
"If you are , I 'll tell you in advance ."|8 8|about it|M:OTHER|M:PREP|
"If you are , I 'll tell you in advance ."|8 8|about it|M:OTHER|M:PRON|
"Because I 'm big fan of them , if was pretty much boring without them and not to mention that it was disappointing ."|8 9|it|R:OTHER|R:SPELL|
"Moreover the testament was till under the construction so that we could n't use it when we were extlemely hungry ."|4 5|still|R:OTHER|R:SPELL|
"People have invented such things like TV , radio , telephones and so on which made us enable to hear the news quickly and stay in touch with people easily ."|17 18|able|R:OTHER||
"Nearly almost of the disease have been found the way to cure except only a few like AIDS ."|1 2|all|R:OTHER||
"I have mentioned few changes above but there 's still a biggist one left which is about computer areas ."|16 17|related to|R:OTHER||
"I have mentioned few changes above but there 's still a biggist one left which is about computer areas ."|17 19|the field of|R:OTHER||
"It will give me an adventure feeling and I have always prefered tents to log cabins ."|4 7|a feeling of adventure|R:OTHER||
"This included to clean up the rooms which were used by the singers and put some equipment on the stage ."|2 4|cleaning|R:OTHER||
"And I managed to speak to Ricky Martin out of stage ."|8 11|backstage|R:OTHER||
"Probably it was n't so nice to do jobs which you were told to do , but you see many stars out of stage ."|21 24|backstage|R:OTHER||
"And you might manage to speak to some pop - stars ."|2 4|had a chance|R:OTHER||
"After that one of the theatre assistants told us that the film would have began at 20:15 o'clock instead of 19:30 o'clock as indicated ."|23 24|advertised|R:OTHER|R:VERB|
"You can imagine how disappointed we were especially the acting of Danny Brook was the main reason for us to see the musical ."|9 13|Danny Brook's acting|R:OTHER||
"In 100 years most of the clothes are made from syntetical material ."|4 6||U:OTHER||
"Especially contrast will be attractiv ."|0 4|The contrast will be especially|R:OTHER||
"One balance fashion in 100 years time will be confortable and colourful ."|0 1|On|R:OTHER|R:SPELL|
"The fashion industry will deliver a wide range of vararity in style , material and colour ."|8 10|variety of|R:OTHER|R:SPELL|
"The fashion industry will deliver a wide range of vararity in style , material and colour ."|8 10|variety of|R:OTHER|R:PRON|
"I learned so many things about the writers and their ideas , their life styles by talking to them ."|12 12|not to mention|M:OTHER||
"Beyond all these , the application of joining all activities by one nice - priced ticket was excellent ; because it saved you from buying one ticket for each activity ."|0 1|In addition to|R:OTHER||
"Beyond all these , the application of joining all activities by one nice - priced ticket was excellent ; because it saved you from buying one ticket for each activity ."|12 14|reasonably|R:OTHER||
"Beyond all these , the application of joining all activities by one nice - priced ticket was excellent ; because it saved you from buying one ticket for each activity ."|24 25|to buy|R:OTHER||
"Next year , I think you should increase the number of shows , concerts and others , also the time spent at the festival ( for example : at least 5 days ) , then everything would be perfect ."|15 16|other things|R:OTHER||
"It 's the same here . I 've got too many exams nowadays , but that 's all ."|9 11|a lot of|R:OTHER||
"It 's the same here . I 've got too many exams nowadays , but that 's all ."|12 13|at the moment|R:OTHER||
"I understand the second part , but I ca n't get the reason of wearing in white an dark blue only ."|14 21|only wearing white and dark blue|R:OTHER||
"I have just received your letter and I am writing in response of your questions ."|10 13|to answer|R:OTHER||
"I am very easy going and I will be satisfied wherever ."|11 11|I am|M:OTHER||
"I am a terrible climber but with a little bit of help I think I can enjoy the activity and have a good time unforgettable ."|24 24|that will be|M:OTHER||
"I have a friend and she knows that I speak English so she offered to me work with an English singer so I said "" yes , of course "" ."|21 22|and|R:OTHER|R:CONJ|
"He was very kind to me , we talked many things and after the concert he invited all the team to have a dinner , yes I know what you 're thinking , "" Dinner and Sting "" yes my friend it was the best thing in my life ."|24 26|. Yes,|R:OTHER|R:PUNCT|
"He was very kind to me , we talked many things and after the concert he invited all the team to have a dinner , yes I know what you 're thinking , "" Dinner and Sting "" yes my friend it was the best thing in my life ."|38 39|. Yes,|R:OTHER|M:PUNCT|
"He was very kind to me , we talked many things and after the concert he invited all the team to have a dinner , yes I know what you 're thinking , "" Dinner and Sting "" yes my friend it was the best thing in my life ."|46 46|to happen to me|M:OTHER||
"I hope my friend call me again to work because I had a wonderful time and it was a great and unforgettable experience ."|9 9|for him|M:OTHER|M:PREP|
"I hope my friend call me again to work because I had a wonderful time and it was a great and unforgettable experience ."|9 9|for him|M:OTHER|M:PRON|
"She lived next to my house and we went to the same school ."|3 6|door|R:OTHER||
"She helped me to forget it for a few minutes , she made me to laugh and the she left ."|17 18|then|R:OTHER|R:SPELL|
"The other morning I went to school and all the students came next to me and told me not to be mad because of my parents ."|12 13|up|R:OTHER|R:PREP|
"The other morning I went to school and all the students came next to me and told me not to be mad because of my parents ."|21 22|upset|R:OTHER|R:ADJ|
"In the name of the class I would like to thank you for the excellent programme you have organised , especially the idea of visiting a galery ."|0 3|on behalf|R:OTHER||
"It is a famous exhibition , where are showed latest fashions , leisure and sports wear , make up and hairstyles ."|7 21|the latest fashions, leisure and sportswear, make-up and hairstyles are shown|R:OTHER||
"We are all very interested in the show because England people have a different kind of life ."|9 10|English|R:OTHER|R:MORPH|
"We may go earlier to the Museum or on the 15th March instead of the afternoon free time ."|16 16|during our|M:OTHER||
"I'am looking forward to hearing from you ."|0 1|I am|R:OTHER|R:SPELL|
"I had always wanted to swim in the middle of sharks ."|6 10|with|R:OTHER||
"In order to the prize , I would like to travel , if it is possible , on July because I am a student and my winter brake is taking place during this month , July ."|29 31||U:OTHER||
"I would prepare to stay in a cabin because I have not got really good experiences in camping in tents , last time a bear came inside while I was in ."|12 14|really had|R:OTHER||
"I would prepare to stay in a cabin because I have not got really good experiences in camping in tents , last time a bear came inside while I was in ."|31 31|the tent|M:OTHER|M:DET|
"I would prepare to stay in a cabin because I have not got really good experiences in camping in tents , last time a bear came inside while I was in ."|31 31|the tent|M:OTHER|M:NOUN|
"Since the man become man he has had the need of hunting for sourvive , in ancient times he used spears , bows and arrows , and the wemon 's role was to collect items like vegetables and stuff ."|7 9||U:OTHER|U:VERB|
"Since the man become man he has had the need of hunting for sourvive , in ancient times he used spears , bows and arrows , and the wemon 's role was to collect items like vegetables and stuff ."|7 9||U:OTHER|U:DET|
"Since the man become man he has had the need of hunting for sourvive , in ancient times he used spears , bows and arrows , and the wemon 's role was to collect items like vegetables and stuff ."|11 12|to hunt|R:OTHER|R:VERB:FORM|
"Since the man become man he has had the need of hunting for sourvive , in ancient times he used spears , bows and arrows , and the wemon 's role was to collect items like vegetables and stuff ."|13 14|to survive|R:OTHER||
"Any ways shopping is with us and it will stay with us for a long time ."|0 2|Anyway|R:OTHER|R:ORTH|
"Any ways shopping is with us and it will stay with us for a long time ."|0 2|Anyway|R:OTHER|R:SPELL|
"I used to be the captain of the selection of bascketball in my school , because I was the best to play , and I think I can still remember how to play ."|8 11|basketball team|R:OTHER|R:SPELL|
"I used to be the captain of the selection of bascketball in my school , because I was the best to play , and I think I can still remember how to play ."|8 11|basketball team|R:OTHER|M:NOUN|
"I used to be the captain of the selection of bascketball in my school , because I was the best to play , and I think I can still remember how to play ."|20 22|player|R:OTHER||
"I think that 's all , and I look foreword to hearing from you soon ."|9 10|forward|R:OTHER|R:SPELL|
"This cituation is very annoying for most of the people , and that 's what makes shopping unejoyable ."|7 9||U:OTHER||
"I 'm very much surprised to receive your letter announcing the first prize in your competition and I 'm looking forward to spend the two weeks at Camp California ."|11 11|winner of the|M:OTHER|M:NOUN|
"I 'm very much surprised to receive your letter announcing the first prize in your competition and I 'm looking forward to spend the two weeks at Camp California ."|11 11|winner of the|M:OTHER|M:PREP|
"I 'm very much surprised to receive your letter announcing the first prize in your competition and I 'm looking forward to spend the two weeks at Camp California ."|11 11|winner of the|M:OTHER|M:DET|
"I have no previous experience on it but I wish I 'd learn a lot ."|10 12||U:OTHER||
"The opening time recording the students while they meet outside the school and come in could be a good begining ."|2 3|of the school|R:OTHER||
"When the show ended I went to visit the theatre restaurant I could not get in because it was closed as the chef of the restaurant was not there ."|22 26|the restaurant's chef|R:OTHER||
"In the future , it will be able to help people even more since it has been increasing its capacity day after day ."|18 20||U:OTHER|U:PRON|
"In the future , it will be able to help people even more since it has been increasing its capacity day after day ."|18 20||U:OTHER|U:NOUN|
"Furthermore , it 's worthful experience for people to know the other countries ' arts ."|8 8|who want|M:OTHER|M:PRON|
"Furthermore , it 's worthful experience for people to know the other countries ' arts ."|8 8|who want|M:OTHER|M:VERB|
"But I would like to suggest some requests for the festival ."|8 9|regarding|R:OTHER||
"Finally , regards to tickets , it is very wonderful idea because it is more combinient to enjoy the festival for one day among a lot of people ."|2 3|with regard|R:OTHER|M:PREP|
"Finally , regards to tickets , it is very wonderful idea because it is more combinient to enjoy the festival for one day among a lot of people ."|2 3|with regard|R:OTHER|R:SPELL|
"One day , when the old man went into the bambo bush , he found one bambo gritted white ."|15 16|some|R:OTHER|R:DET|
"I'M AFRAID I CAN ONLY GO ON JULY BECAUSE DURING THAT TIME I WILL HAVE HOLIDAYS FROM SCHOOL ,"|15 18|school holidays|R:OTHER||
"SO THAT WILL FOR ME THE ONLY POSSIBILITY TO TAKE 2 WEEKS OFF ."|8 10|taking|R:OTHER|R:VERB:FORM|
"THE KIND OF ACCOMODATION I PREFER IS IN A TENT BECAUSE IN A SOMMER CAMP I FIND IT MORE INTERESTING SLEEPING ' OUTSIDE ' UNDER THE SKY WHEN THE WEATHER IS NICE AND WARM ."|11 12|AT|R:OTHER|R:PREP|
"THE KIND OF ACCOMODATION I PREFER IS IN A TENT BECAUSE IN A SOMMER CAMP I FIND IT MORE INTERESTING SLEEPING ' OUTSIDE ' UNDER THE SKY WHEN THE WEATHER IS NICE AND WARM ."|21 24|OUTSIDE|R:OTHER|U:PUNCT|
"IM QUITE GOOD PLAYING BASKETBALL BECAUSE I USED TO PLAY FOR ABOUT FIVE YEARS AT SCHOOL , WE USED TO HAVE TRAININGS TWICE A WEEK AND AT LEAST TWO GAMES AT MONTH AGAINST ANOTHER SCHOOLS , WHICH WAS GREAT ."|30 31|A|R:OTHER|R:SPELL|
"PAINTING ALWAYS DID FASCINATED ME , EVEN I'M NOT SO GOOD ON IT , BUT MY FRIENDS THEY SAY I CAN REALLY PAINT AND THEY LOVE THE THINGS I DO , THE TECHNIK I LIKE THE MOST IS WATERCOLORS ."|11 12|AT|R:OTHER|R:PREP|
"- MY PARENTS AND ME WE ARE NOT SURE HOW MUCH MONEY DO I NEED FOR THE TWO WEEKS , CAN YOU GIVE ME A LITTLE HELP ? THANK YOU VERY MUCH AND I HOPE HEARING FROM YOU SOON ."|4 5|I|R:OTHER|R:PRON|
"- MY PARENTS AND ME WE ARE NOT SURE HOW MUCH MONEY DO I NEED FOR THE TWO WEEKS , CAN YOU GIVE ME A LITTLE HELP ? THANK YOU VERY MUCH AND I HOPE HEARING FROM YOU SOON ."|4 5|I|R:OTHER|U:PRON|
"- MY PARENTS AND ME WE ARE NOT SURE HOW MUCH MONEY DO I NEED FOR THE TWO WEEKS , CAN YOU GIVE ME A LITTLE HELP ? THANK YOU VERY MUCH AND I HOPE HEARING FROM YOU SOON ."|35 36|TO HEAR|R:OTHER|R:VERB:FORM|
"FIRST WE STARTED VERY EARLY IN THE MORNING BUILDING UP THE STAGE AND THE TENT WHERE THE GROUP WAS GOING TO PLAY , YOU KNOW JUST IN CASE THE RAIN WOULD HAVE COME , BUT WE WERE VERY LUCKY AND THE WEATHER WAS SUNNY AND WARM ."|28 33|IT RAINED|R:OTHER||
"AT ABOUT FIVE O'CLOCK EVERYTHING WAS READY AND THE BAND CAME IN , THERE WERE ALREADY PLENTY OF ' FANS ' WAITING FOR THE CONCERT TO BEGIN , WHICH STARTED AT 7 O'CLOCK ."|18 21|FANS|R:OTHER|U:PUNCT|
"I KNOW THE MUSICIANS FROM THE SCHOOL TIME , THAT 'S WHY IT WAS EVEN MORE FUN TO HELP AND TO TAKE PART ON THIS EVENT , SPECIALLY BECAUSE I REALLY LIKE THE MUSIC THEY PLAY ."|9 11|WHICH IS|R:OTHER|R:PRON|
"I KNOW THE MUSICIANS FROM THE SCHOOL TIME , THAT 'S WHY IT WAS EVEN MORE FUN TO HELP AND TO TAKE PART ON THIS EVENT , SPECIALLY BECAUSE I REALLY LIKE THE MUSIC THEY PLAY ."|9 11|WHICH IS|R:OTHER|R:SPELL|
"THE PEOPLE WENT CRAZY DURING THE 2 HOURS CONCERT AND AT LEAST I HELPED AS WELL SELLING CD 'S , IF THEY WERE ON SELLING THAT MUCH , THEY ARE GOING TO BE FOR SURE VERY FAMOUS ....."|6 8|2-hour|R:OTHER|R:ORTH|
"THE PEOPLE WENT CRAZY DURING THE 2 HOURS CONCERT AND AT LEAST I HELPED AS WELL SELLING CD 'S , IF THEY WERE ON SELLING THAT MUCH , THEY ARE GOING TO BE FOR SURE VERY FAMOUS ....."|10 12||U:OTHER||
"THE PEOPLE WENT CRAZY DURING THE 2 HOURS CONCERT AND AT LEAST I HELPED AS WELL SELLING CD 'S , IF THEY WERE ON SELLING THAT MUCH , THEY ARE GOING TO BE FOR SURE VERY FAMOUS ....."|26 27|many|R:OTHER|R:PRON|
"When I went to that theatre I was very excited because I was thinking I would see my favourite musical star , someone actually did n't appear , I noticed there in the show , someone completely different of him so I felt bad ."|30 31|that|R:OTHER||
"When I went to that theatre I was very excited because I was thinking I would see my favourite musical star , someone actually did n't appear , I noticed there in the show , someone completely different of him so I felt bad ."|35 35|there was|M:OTHER||
"I bought my tickets , I noticed I did n't have any discounts as it was written on the folder ."|14 15|the one that|R:OTHER||
"After all the inconvenients that made me feel really mad . I think I can forgive your theatre , only if you give me a refund of the money I spent there , and some other more for all the problems I had ."|15 20|only forgive your theatre|R:OTHER||
"As far as I am concerned , I would prefer an accomodation in a log cabin , but in case there are no cabins left I can stay in a tend as well ."|10 12|to stay|R:OTHER||
"Anyway if you can choose the time and the place , and if you go shopping just because you like it , and not because you need it , shopping can be a very nice activity ."|27 28|to|R:OTHER||
"When the show started the starring was wrong because it said that act Danny Brook and Tina Truelove and Danny Brook did'n act , it was another actor that nobody knew , "" Really this is very disappointing "" ."|21 22|did n't|R:OTHER|R:ORTH|
"All started when Pat , the best friend of Nick , wanted to make the party in his house , most of the class disagree with that because the house of Pat is extremly little , they started to say him that his house was like a box ."|5 10|Nick's best friend|R:OTHER||
"All started when Pat , the best friend of Nick , wanted to make the party in his house , most of the class disagree with that because the house of Pat is extremly little , they started to say him that his house was like a box ."|29 32|Pat's house|R:OTHER||
"Pat affected with this situation told Nick all the situation and the secret of the class ."|12 16|class secret|R:OTHER||
"At the beginning Nick got angree but then he forgive him because they were friend and each of one can trust on the other ."|1 3|first|R:OTHER||
"At the beginning Nick got angree but then he forgive him because they were friend and each of one can trust on the other ."|18 19|them|R:OTHER|R:PRON|
"Nick told the situation to the class and ofered his house to do the party , because was very big , with large gardens and a big swimingpool ."|11 13|for|R:OTHER||
